October 30, 2025 - 10:36:45 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:36:46 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:36:46 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:36:47 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:36:51 | INFO | Usuário acessou a rota principal '/'
October 30, 2025 - 10:37:13 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:37:14 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:37:14 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:37:15 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:37:17 | INFO | Usuário acessou a rota principal '/'
October 30, 2025 - 10:38:29 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:38:30 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:38:57 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:38:58 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:38:59 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:39:00 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:39:01 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:39:02 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:41:52 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:41:53 | INFO | Servidor Flask iniciado e pronto para receber requisições.
October 30, 2025 - 10:42:34 | INFO | Iniciando aplicação Flask...
October 30, 2025 - 10:42:35 | INFO | Servidor Flask iniciado e pronto para receber requisições.
